,Process rate,Weather,Construction Cost,Construction Category,Fatality,Injuries
673,6,0,40000,5,0,1
674,9,0,3500,2,0,1
675,6,0,75000,1,0,1
676,7,0,150000,7,1,0
677,5,0,75000,16,0,1
678,5,2,250,5,0,1
679,5,0,1500,3,0,1
680,7,0,17500,20,0,1
681,2,0,40000,1,0,1
682,3,0,3500,1,0,1
683,8,0,75000,0,0,1
684,1,0,75000,3,0,1
685,9,0,150000,11,0,1
686,4,0,150000,0,0,1
687,4,0,25000,3,0,1
688,5,0,150,21,0,1
689,7,0,75000,5,0,1
690,1,3,12500,1,0,1
691,5,0,12500,1,0,1
692,1,1,75000,1,0,1
693,5,0,40000,1,0,1
694,9,0,17500,0,0,1
695,5,0,150000,3,0,1
696,9,1,150000,2,0,1
697,0,2,150000,0,0,1
698,8,1,25000,0,0,1
699,7,1,7500,0,0,1
700,0,0,3500,5,0,1
701,2,0,400,0,0,1
702,2,0,150000,3,0,1
703,5,0,25000,1,0,1
704,8,0,150000,0,0,1
705,6,0,12500,13,0,1
706,7,2,1500,18,0,1
707,4,0,7500,0,0,1
708,0,0,17500,4,0,1
709,5,0,70,7,0,1
710,8,2,250,20,0,1
711,6,0,150000,21,0,1
712,2,0,150000,0,0,1
713,6,1,750,0,0,1
714,7,1,250,7,0,1
715,0,1,25000,0,1,0
716,8,0,750,6,1,0
717,0,0,25000,9,0,1
718,3,0,3500,3,0,1
719,1,0,150000,3,0,1
720,6,0,250,3,0,1
721,9,0,750,13,0,1
722,9,0,1500,0,0,1
723,5,0,750,26,0,1
724,3,0,40000,3,0,1
725,7,0,750,5,0,1
726,2,0,150,0,1,0
727,8,0,75000,0,1,0
728,7,1,40000,0,0,1
729,9,0,150000,2,0,1
730,3,0,75000,3,0,1
731,4,1,150000,3,0,1
732,1,0,1500,0,0,1
733,4,0,3500,3,0,1
734,9,0,40000,24,0,1
735,0,0,150000,19,0,1
736,1,0,40000,3,0,1
737,9,0,40000,2,0,1
738,7,0,400,20,0,1
739,6,0,1500,0,0,1
740,9,0,75000,18,0,1
741,8,1,150000,2,0,0
742,8,0,25000,6,0,1
743,9,0,150000,3,0,1
744,6,2,3500,5,0,1
745,9,0,150000,8,0,1
746,2,0,75000,0,0,1
747,8,0,25000,3,0,1
748,5,0,750,1,1,0
749,1,0,400,9,1,0
750,6,0,3500,3,0,1
751,5,0,150000,1,0,1
752,8,0,250,0,0,1
753,1,0,150000,3,0,1
754,3,0,750,7,0,1
755,9,0,150000,3,0,1
756,4,0,25000,13,0,1
757,8,1,3500,1,0,1
758,3,0,12500,2,0,1
759,4,0,150000,1,0,1
760,8,0,25000,3,0,1
761,8,0,150000,17,0,1
762,6,0,75000,19,0,1
763,0,1,75000,3,0,1
764,4,1,150000,0,0,1
765,4,0,25000,1,0,1
766,4,0,150000,9,0,1
767,1,1,25000,9,0,1
768,9,1,7500,0,0,1
769,3,1,750,10,0,1
770,5,0,75000,2,0,1
771,2,0,150000,3,0,1
772,0,0,150000,1,0,1
773,3,1,25000,3,0,1
774,5,1,150000,0,0,1
775,9,0,75000,6,0,1
776,6,0,75000,9,0,1
777,9,0,150000,3,0,1
778,9,0,3500,1,0,1
779,9,0,150000,5,0,1
780,9,0,40000,11,0,1
781,3,0,150000,3,0,1
782,2,0,12500,3,0,1
783,3,1,400,7,0,1
784,3,0,12500,3,0,1
785,0,0,7500,4,0,1
786,3,2,40000,0,1,0
787,3,0,3500,0,0,1
788,9,0,150000,0,0,1
789,7,0,40000,18,0,1
790,6,0,17500,1,0,1
791,5,2,150000,0,0,1
792,6,0,40000,0,0,1
793,9,0,1500,5,0,1
794,1,2,150000,3,0,1
795,2,0,75000,0,0,1
796,6,0,150000,0,0,1
797,9,0,75000,0,0,1
798,5,0,1500,0,0,2
799,8,2,750,24,0,1
800,9,1,25000,0,0,1
801,7,1,150000,0,0,1
802,7,1,150000,13,0,1
803,7,0,5,14,0,1
804,4,0,150000,7,0,1
805,1,0,7500,3,0,1
806,9,1,40000,3,0,1
808,1,0,150000,0,0,1
809,4,0,12500,16,0,1
810,7,0,12500,0,0,1
811,0,0,3500,3,0,1
812,8,2,150000,0,0,1
813,8,1,7500,5,1,0
814,4,0,400,3,0,1
815,7,0,150000,0,0,1
816,9,2,7500,13,0,1
817,7,0,75000,9,0,1
818,2,0,70,3,0,1
819,6,0,400,22,0,1
820,1,0,1500,3,0,1
821,0,0,40000,4,0,1
822,9,0,1500,0,0,1
823,3,0,750,3,0,1
824,9,1,3500,4,0,1
825,9,0,12500,4,0,1
826,8,0,750,15,0,1
827,8,1,75000,18,0,1
828,6,0,150000,24,1,0
829,1,0,150000,0,0,1
830,4,0,25000,0,0,1
831,4,0,25000,0,0,1
832,9,1,750,0,0,1
833,9,0,7500,14,0,1
834,2,0,7500,3,0,1
835,2,0,150000,22,1,0
836,3,0,25000,0,0,1
838,8,0,150000,10,0,1
839,6,0,12500,9,0,1
840,9,1,400,19,0,1
841,3,0,12500,19,0,1
842,7,1,1500,1,0,1
843,3,0,1500,0,0,1
844,9,1,3500,20,1,0
845,7,0,3500,17,0,1
846,2,0,1500,0,0,1
848,6,0,75000,12,0,1
849,8,0,7500,24,0,1
850,8,0,150000,1,0,1
851,9,2,150000,0,0,1
852,2,0,3500,3,0,1
853,3,1,150000,3,0,1
854,3,2,3500,0,0,1
855,4,0,400,17,0,1
856,4,2,12500,3,0,1
857,1,0,3500,3,1,1
858,5,1,1500,3,0,1
859,9,1,7500,10,0,1
860,5,0,7500,16,0,1
861,9,0,150000,0,0,1
862,2,2,150000,0,0,1
863,2,0,17500,3,0,1
864,5,0,70,6,0,1
865,3,0,70,6,0,1
866,8,0,150000,25,0,1
867,1,1,40000,3,0,1
868,0,1,25000,1,0,1
869,9,0,150000,2,1,0
870,9,0,40000,2,0,1
871,0,0,1500,0,0,1
872,1,1,25000,5,0,1
873,9,0,7500,18,0,1
874,3,0,40000,0,0,1
875,8,0,150000,14,0,1
876,5,2,400,5,0,1
877,6,1,150000,22,0,1
878,8,0,150000,17,0,1
879,7,0,150000,0,0,1
880,6,2,25000,2,0,1
881,2,0,1500,0,0,1
882,6,2,25000,10,0,1
883,5,0,150000,0,0,1
884,5,1,25000,1,0,1
885,9,1,150,0,0,1
886,7,1,25000,2,0,1
887,2,1,40000,3,0,1
888,4,0,12500,7,0,1
889,2,2,150000,2,0,1
890,5,1,17500,3,0,1
891,9,0,3500,14,0,1
892,9,1,75000,2,0,1
893,2,1,3500,0,0,1
894,3,1,17500,0,0,1
895,9,2,150000,0,0,1
896,2,0,7500,3,0,1
897,9,2,150000,14,0,1
898,1,0,150000,3,0,1
899,5,1,12500,7,0,1
900,1,0,1500,0,0,1
901,5,1,7500,3,0,1
902,7,1,150000,2,0,1
903,5,1,150000,0,0,1
904,9,2,3500,2,0,1
905,6,0,3500,8,0,1
906,8,2,75000,1,0,1
907,6,1,75000,3,0,1
908,9,0,40000,15,0,1
909,4,1,7500,0,0,1
911,3,4,12500,7,0,1
912,6,2,12500,18,0,1
913,0,4,75000,0,0,1
914,9,2,75000,14,0,2
915,0,2,150000,0,0,1
916,3,4,150000,1,0,1
917,7,0,150000,13,0,1
918,3,0,150000,22,0,1
919,9,0,150000,0,0,1
920,9,0,7500,26,0,1
921,4,1,150000,1,0,1
922,1,2,12500,3,0,1
923,9,1,17500,9,0,1
924,4,2,150000,2,0,1
925,6,0,3500,14,0,1
926,0,0,12500,1,0,1
927,2,1,75000,1,0,1
928,3,4,3500,3,0,0
929,1,2,400,1,0,1
930,1,0,75000,1,0,1
931,6,1,3500,0,0,1
932,2,2,40000,3,0,1
933,6,4,12500,0,0,1
934,9,0,150000,17,0,1
935,2,0,25000,5,0,1
936,5,1,75000,3,0,1
937,9,2,25000,10,0,1
